concept_id,concept
3496210686,archtype
4080578318,feasibility
2161532599,leaped
3272220798,results
1339482101,funny
3580786854,atone
3841434760,commenced
2596043988,explain
3240458671,fads
1427434039,abraham
2913784472,big-large
1480062247,self
1227028316,machinists
4029501057,forthcoming
3457905402,midway
3227066065,sweaters
1051408103,foundation
821313624,half-way
1609218162,jostle
1105469914,release
3057753189,biologically
481468920,unrecognized
1537412811,semi-abstractions
158046330,takeover
504531226,pricing
3707707331,statesman
619319541,mirror
2516766841,souls
2458669455,custody
673852143,films
2251643624,intangibles
3683542830,frequency
1974860457,amplifier
3266643632,distal
2753149503,curbs
1582304050,theatergoers
2305373470,spontaneous
2082868206,would
3856961893,pieces
1964070012,improvement
1683636075,scavenger
340184034,beame
1212000656,disposed
2429743954,sessions
2980310770,economists
768881100,boulder
980918366,demonstrates
1382724761,transition
396273197,spent
3611421440,plane
292341035,condescension
2949703730,ambulance
95142405,mark
930220638,helps
894967816,wrecked
2664500635,twosome
2650950006,blood
3062063208,switzerland
3981166218,confided
1825437305,bureaucratic
4082260202,dogs
1539783140,cleaner
2166698459,interview
2852924413,ucla
4170637690,physiological
3946775235,return
1612144015,arlene
3871805498,objects
1512449494,dwell
1416155015,commission
628359265,sewing
2199984688,shouted
3398658106,educate
2439872486,vogue
1609428851,exaggeration
2510389586,prerequisite
2690751459,tongues
3013840443,co-operation
1442428620,puzzle
329721164,bottega
999458323,transfers
2735236482,library
948573970,commercials
155649995,bombings
1801684982,vectors
4173246726,predecessors
3651893378,years
1248374233,human
3535562799,wednesday
1350022254,ellipses
3449678148,hidden
84402345,counter
3043956738,excretion
874962006,agree
2124526802,cigarette
1701859226,sundays
2289873291,episcopal
3536017791,flexural
2774565480,shakespeare
2786082412,alerting
