concept_id,concept
1243570891,sufficient
1093997573,two-story
979027842,gift
4258602161,quiet-spoken
3902820845,concepts
1909585776,judgment
440228519,retard
719988018,contrasted
319771297,deluded
2138917099,market
4109734275,shooting
2999258814,bricktop
1367965273,agglutinin
1528760561,plow
1580573322,technicalities
1357727165,although
2369331750,travelled
778696059,devey
4065580826,upswing
1315331744,fungus
3393749275,commanding
3322575461,malnutrition
1094964884,merely
3102309254,akin
4024642619,neighbors
1788346157,whisky
4026108889,parts
2438997009,tailored
3630472951,essence
4085660954,unprecedented
2393563916,spraying
22614437,compromise
1664806316,anonymity
3876779295,ascribe
1694717514,porous
494194884,confirming
1737602932,wrath
1337090871,sunrise
3488265982,billed
3731164874,consistent
457591202,democrat
2010659073,untrue
1830170972,wickham
54992841,grasslands
1676319265,implied
492786540,subtleties
1001682816,dentistry
32287370,rattlesnakes
1572660684,negative
3038284726,angrily
416518228,strike
2636004965,deadline
574672274,belaboring
3626756325,admitted
1670011065,knowingly
1886314088,khrushchev
3202052548,etat
2034835404,equitably
2778680619,eleanor
3679608845,facilitating
1752717532,vacant
44478711,innovations
4033199233,simpkins
2842398024,statute
898836107,expansions
3642771504,fist-fighting
1715811419,jesting
3190114545,matunuck
2247790618,spongy
1387181632,happens
1897756610,understand
589733786,glad
3218312673,core
1871888259,coincide
235932246,radiocarbon
3451592646,assignments
4163984616,spokesman
3404474004,literate
4238630663,came
4191332354,impotency
2769872676,statistical
2660677718,siberia
1200412700,rationalize
3347443425,oneness
319521442,gregarious
1925741259,wilt
2465607061,avenue
951127077,presupposes
3564279555,degrees-c
464843418,section
1273499108,adhered
4083258168,littau
62128189,whims
1790261910,shifted
4223167610,ensconced
1862427253,ill-prepared
255760198,warmed
1761199939,recruiting
839171445,re-enter
2711564705,marbles
