concept_id,concept
2038769930,chamber
1762106291,bradford
1231999515,melt
632020858,cudkowicz
1191042576,mcroberts
325120510,staining
3971553408,excuse
1612602822,decades
1027713645,owen
2330553390,kankakee
660244861,specialized
1092861908,publication
896436920,fraction
2714860037,firms
3842806064,lighting
3955048426,adopted
3143025160,cease-fire
743229041,frustrations
204650687,acceleration
1169853149,reacting
228190666,ordinary
3271492795,re-sharpening
699574605,grown
3409062845,parrot-like
2286396588,codification
2016411059,sarasate
1309051282,three
3269927682,kegham
2419303699,even
1705718712,embankment
2337034639,time
686598576,clearly
3441823959,blues
1017474131,boston
3607112254,manipulating
2361018244,spells
635133665,ambiguous
881194384,marshall
3348489388,mijbil
2733812664,selling
4104952353,details
739050409,communication
661187,secure
2627218475,philosophy
573322049,finished
1032051844,kenning
3499906865,curzon
1305407708,tunnel
3185842682,compositions
1120863028,admittance
2973756462,apprentice
2705516042,draft
3028621821,named
2389747062,prospective
486509458,potboilers
80508619,scandals
4108018803,arson
1753575457,held
4270752668,gasp
406287324,charter
4049479755,morale
675376332,spontaneity
187837771,oxidised
648061874,pianist
1657822031,beam
3035545886,self-critical
720315485,processor
2873756268,lost
1341414081,legislated
3300476439,tearing
4184778746,neglected
3644313182,fantastic
4044798566,perceptions
401837639,installing
322545618,cousins
2720575404,hartsfield
3522541817,mineralized
2429809424,warbling
2127409819,keeps
411869457,assures
2418303700,epitomized
1797994637,mason
895600126,stairs
1259623940,stoppage
63099809,publishing
310353218,onrush
155212273,byproduct
3212325149,approached
2793283949,script
3743361541,theory
169701403,westminster
3223439671,conspiracies
1400624802,finances
704141437,grist
3072752087,miami
2454529444,summarized
3796079859,spatial
3406976262,politics
3729559344,merner
3467856243,habits
