concept_id,concept
670795488,step
2305436497,editor
2951680104,dieters
625584568,democratize
1595389878,exciting
1554513906,distortion
852923692,offered
3447169686,taxpayer
312427798,know-
3682586602,exported
3941595828,historians
438217308,out-of-state
1999387991,sub-surface
1510946164,platforms
3176872862,encounter
1150874444,obscure
561489270,messenger
420621626,interviewed
3467439204,collection
2389469262,canvassers
3478045464,toadyism
961264779,predicted
3670511994,amonasro
1694943800,heaven
3365112656,excuses
3881338801,newer
3999436450,multiplication
1922073480,harvest
4167584044,paste
2966491096,prescribed
800935365,flotillas
545751913,tartuffe
1958730180,clumps
2076929933,fibers
2323739667,fevered
3662882907,subdued
1433949730,blowing
2658767479,bleat
3451816956,tomb
1085614075,breaking
1930421575,fundamental
324843500,calligraphy
3461497403,though
3769318180,statement
3830067045,affirmation
549307367,abroad
3919160386,guess
1659488295,commodity
1102738267,throwing
818546159,consume
215647538,american
4234049430,shocks
112067908,self-
2126557861,raton
3155619100,mentioned
401604869,tigard
3694698109,workmen
3552270241,opponent
1752654240,greater
1092720492,defendants
1758100875,diam
2666148594,fleeing
2381347123,proclaim
3064357025,well-regulated
4092462523,collinsville
131875541,around
3543699288,integrity
2950689555,reaction
551184013,patrol
3942459203,settle
1611891503,hart
1547638290,direct
109403549,appendix
2951015950,meters
1315877251,gospel-singer
4079476342,rowdy
3881079726,princess
13739646,ditties
1526253102,heirs
3906449590,successful
264236181,hillsboro
113263692,sparked
777894699,layers
302681355,hung
4036313347,y-region
3094772111,spared
591370670,loans
4019718799,profits
2112248474,authorities
3210465724,struggling
3994985979,taxing
4127250050,journalist
2516287433,signalizes
1127592212,occupants
3395233375,halftime
1889700193,awards
4285860739,accrues
2820082614,lassus
3807771054,imperfections
236066419,greases
