concept_id,concept
3182394656,massive
1876186798,aunt
1281894943,laissez-faire
653522772,prisoners
3118266388,snout
1786022783,santa
794549973,secco
776899120,copied
1610003664,lining
1477444895,gladden
3334099634,criticisms
2401544164,posture
2626298250,mall
3168073505,potters
472228438,expression
2538715535,disrupting
1014485357,skill
83928893,prescriptive
2845460898,hays
1136762064,deluge
1151963497,belch
2807308234,broncs
3029721138,carbines
1974064187,antagonism
2185273351,hunting
3783384333,donors
3138446964,alternatives
2454079685,taxable
493958649,spend
2656423455,film
3032935166,junior
2260120676,closed
2244469390,bundle
1073710766,needless
204699714,grindlay
3190824565,dexedrine
2731361106,murderer
2648275121,deemed
2617946528,doubles
638441713,conic
2361238240,relish
2356059340,airborne
3816145424,accompanied
470475883,owed
728030374,cheers
1386760820,saddled
1968356617,lethality
2129545465,novosibirsk
2507185496,observers
1714444413,dissimulation
3297791234,assumes
3838022385,java
2457580203,boom-boom-boom
2564968473,setbacks
558436872,tojos
4084363974,capabilities
3388054789,sticking
3685102730,optimization
2804324812,istiqlal
3235028143,west
2517837370,instances
3047703177,paving
1573263156,pretty
2427996318,argued
984382008,absorbed
3071904751,intending
2878676807,nowhere
3345831171,repeats
2391665369,elevated
911088935,five
817338427,municipality
3564565842,tokyo
1078441373,helped
906338381,tobacco
1375352721,preserving
2066298842,frantic
3363912617,bellowing
2665746281,pairs
658229377,air-conditioning
3791234900,evidences
2201858037,sponsorship
594213229,sighted
4251013611,value-system
4062196696,language
2701303529,trachea
931926859,banner
465887797,apollinaire
3780146387,contemplated
4143282113,determining
3322563096,emerge
2534377058,poetizing
983208834,abolition
2283754442,hailed
2629044763,kidneys
2563766898,boiled
3205432356,void
739958229,choreographer
3711663996,rock
2098856970,geographic
84591907,proclaimed
