concept_id,concept
4168750374,civic
2142725024,narration
3688933090,freedoms
1347456986,pope
3682739191,quick
2116457118,reconsideration
4183212237,cosmologists
2364142427,lauchli
2236475642,formulation
1920653022,ironing
2846893717,footnote
467462040,passed
382311385,seems
2468946931,enclosed
3961060885,roots
2440541518,headline
1776653750,journey
4045857260,crude
1359191228,indications
1693517338,expenses
2878096671,artificially
2004262812,manpower
2008371938,grumble
2288912223,outfought
1423238265,dust-settling
2381747078,left-handed
2707314410,everest
4157981748,spaces
2545067188,bruited
1744719322,already
2451762476,clubs
2947546940,pith
2720856912,ginghams
3957086785,deduction
3257444106,transports
636388888,minutemen
2311347692,coarseness
3638360700,monotone
2050449179,gist
827896196,encouraging
568547462,substitute
3413447524,retailer
98508106,old-fashioned
1113562642,sarasota
1507131478,brig
414478566,motor-car
457089480,petition
2119530705,befits
731907809,prodigies
2466242154,wagon
2234956887,liability
1134537992,relation
1692461863,treats
2795842698,adherence
3395085170,offices
2392743453,gazette
4287276480,sons
3870521715,kipling
3434215830,misery
1507690511,stringy
3175682519,hyperemia
3049269683,unimaginable
1781604178,glycerolized
3288276048,edition
397241045,afloat
2383288188,deeds
2295882638,choking
774160937,thornton
223312299,fired
1991376715,visited
2643271534,flatness
1397051823,clients
2254477183,successively
3523485645,after-effects
747695349,object
2897303887,left
3792988442,reservations
2120884997,whipple
3512649805,tales
3273237195,wrinkle
763069152,placement
2938035960,palatability
1236146275,severed
922191727,introduces
2399541611,rockhall
3071890957,sorted
3965191040,foolish
2047032651,augmenting
3490798885,diction
1144265079,ironic
3075687644,external
555410766,bridgeport
139238613,sacrament
655927780,wellesley
86020512,good-bye
2703638481,animism
3619488527,circumstance
1847673703,donation
2576854333,sloanaker
951202057,calamity
