concept_id,concept
2127926294,abandonment
3996188263,coordinator
332962929,sonata
1674332297,exhaust
2909554281,goodwin
373075406,referendum
1379819236,inhibit
4083498444,auspices
2872032922,kneel
1185360139,innesfree
2853057128,dissatisfaction
1047882812,involution
2470970324,drinkhouse
2877411011,norms
168094568,ointment
106107302,summit
1686296306,distressing
2451251524,claps
998275372,harder
1593494462,envisaged
3830004843,prominence
4139976609,trained
344875815,seidel
2128319801,form-dictionary
563982706,violate
653753299,psithyrus
435986209,bravery
298747035,management
3182274261,underwood
680180480,bronze
1779116713,kivu
2443728712,harry
3480378980,ratio
3617012172,microorganisms
2794295335,manual
412522710,unchallenged
2397680534,intellectually
98563993,attorneys
1089475458,afford
534124496,soft
3155759706,corruption
4092314224,preventing
280746006,psychology
2733429940,host
3454881358,extremes
831917836,slide
1712981271,fostered
3268147277,string
1838980997,abused
1484886306,omnipotence
1325950152,one-tenth
3867264417,sharpening
319261549,bone
2069443967,radhakrishnan
944078688,exception
4147812701,wreck
1536089437,instituted
1371427911,meantime
3310394486,activities
1719980889,upset
1515494868,resumed
308889501,lifted
2071733425,shoot
308698981,pathology
1444742135,stirs
464564417,mawkish
1184682056,defending
364135406,stratified
4061454591,prints
3875787252,devoting
2939526591,award
641621184,supervisor
3733742115,commies
3533982100,oxygens
3909942896,ally
257073585,lasses
3516067746,bio-assay
3498540259,trappings
2936726710,disinterested
1937808403,refusing
1071545602,additives
3909168968,excerpt
1044752864,indignant
2891608015,faith
1502225772,unification
3496194517,peptidases
1546239858,pleasant
2497276066,meyner
3447368411,recover
764134737,wanted
4214169765,butter
1995889591,diachronic
815025515,eliminating
1194479306,purpose
1711001921,churchyard
1405804587,immoral
917704601,shipbuilding
838256119,everyone
1750366909,cuts
969005555,months
