concept_id,concept
1203288208,snowy
1666376549,knowledge
948239084,minors
819187283,contemptuous
2463318361,collated
4258376118,unfavorable
541094435,commands
4294644883,parodies
2030853035,wraps
2275128107,crack
1072756218,promised
2642963976,secreted
2016429283,sulzberger
261696805,claimant
2560272767,ligands
3249985833,enacted
3651893378,years
3403023361,century
574642100,allows
2658660742,storyline
384078680,relinquish
3389378159,locked
3782109694,polymerizations
1686891748,subjective
1671130119,theme
26691,twenty
2403278070,exterminate
2269514155,industrialization
314278982,rushed
4171406867,heather
1496431165,plenty
2056524166,hall
4193887725,rights
1152416693,mechanisms
3825135685,affinity
3279002992,posse
2333585803,deliberately
4235697352,storyteller
131910918,auditorium
2574015544,advocate
3383617300,rulers
1656730612,yeasts
2417452187,attacker
3385224054,gesualdo
2816335472,saigon
4198026451,wrong
2309707298,bundles
2405415426,badminton
666395409,vines
887346986,burr
750527483,norwegian
3140024966,spin
3312485938,office
4082433848,sets
2978843920,tantrums
3765547602,dispose
1721496353,infirm
2816223707,ablaze
662879281,initiator
1353234924,compass
1116410104,pleased
3236012604,accelerometers
104591525,apparently
3894061914,dictates
1558314352,predictably
3733197863,newcomers
2712954561,exemplify
2130762563,flexibility
1373197592,fractionation
2059076550,defenses
2601456449,adjudicate
3185208158,dienbienphu
1770481798,nineteen-sixty
284048074,chlorothiazide
598119287,electrolysis
1830789467,yesterday
2381564265,warsaw
482149195,foes
3528649619,skirt
2302175610,recommended
111580179,appeals
3989230981,affects
3159447706,educated
3168145547,graves
3575882263,block
3046068904,out-group
2730703307,excluded
4204393222,beall
2651845954,veracity
2188298792,convention
3897736590,arroyo
2925094895,brokers
3559975172,subsidies
1465338760,acquiesced
3137528554,corinthian
3452665001,belleville
561741397,newspapers
773863932,line
4252094258,people
158546687,sclerotic
