concept_id,concept
3563910252,dekalb
3506084914,criminal
2661172131,ailey
3518245041,caste
4054358794,lindsay
1464262637,scriptures
1920771232,discrete
1924064212,needs
1327455143,salesmen
4206229359,speakership
2976029792,cursed
3889134048,weatherford
796969051,surround
1640390041,slyness
4051456070,broadcasters
4116142574,curriculum
3601290090,artillery
1145643237,lure
1169175893,cooperative
4172181821,saxton
3515429218,inhibitory
2097957394,undergo
323801425,tenor
1050549868,inspiration
305267184,species
231080169,ellipsoids
3945287123,verboort
504384886,contemporaries
1107745452,hindemith
278950518,whirled
1427861347,catcher
2002617146,doubts
1489594301,enhancing
1718224821,pledge
2631731350,material
2547203168,give
151007945,low-
1254604573,flesh
2284192850,chief
2324298768,evaluate
2246054509,parameter
974325728,blackboard
2818566171,redefinition
140647038,breadth
1076577554,cubism
840561686,games
2296068841,excellence
2394056988,pakistan
1846576795,belgium
1242930550,sanctuary
140199469,simplest
1751860723,particulars
3708892249,replacing
3028615678,fixture
3884180890,legion
3853090076,despot
2351681398,shock
800585899,proves
797454553,implementation
636049872,governor
3274031250,demonstrations
2587226874,trouble-free
1098144692,socially
3432083996,eighth
2870471363,reaffirm
1377820202,brain
520818109,kelsey
3490101995,rochdale
2640516784,rejoining
1095594061,dwight
442456373,postponing
3830380220,refers
1033905838,canada
4188209779,generosity
3668054648,eligio
4201604879,street
856501750,canvas
212339300,atrocities
765449637,slaying
1826875919,puzzler
4146415137,sales-conscious
469156605,gill
897678740,transferor
1593472600,hebrew
2565802428,daughters
4277820705,evidence
945714558,dissembling
1221081576,waiting
1172669879,deliberation
2033438836,arsines
3922709288,daily
1409656552,standpoint
1413277099,large
2115816113,balance
1231431649,thursday
2484642361,congratulate
1946365266,importance
4264348023,doctor
864401319,flames
4074627797,planoconcave
