concept_id,concept_from_alex_street
4255639313,librarians
1312108557,detect
116485554,irrepressible
4001468969,pallbearers
2882414480,unlike
3637536797,subsidize
3002649746,cayuga
1917879097,realizes
3215096015,roebling
2791856614,diminished
1671227031,mclaughlin
1764544356,copilot
2888187132,throngs
3258798337,fade
3979413380,wonderland
4191351141,charts
1807862823,eufaula
2490213003,adventurous
1231394701,dollar
3255257967,mcdaniels
3171643157,expedient
4178784172,eye-witness
2490995782,breeder
628455912,kinder
958646861,comparable
2427602825,mcbride
2153459546,jugoslavia
1356612770,coöperation
601404323,boycott
422185123,layoffs
951594298,actively
805812041,cooing
3107472169,surpass
2684467513,colleagues
3718221984,three-fourths
3291500782,oftener
3839698072,raibiny
2096000060,derogatory
65656971,shadd
1193668701,pack
287692369,tioga
3885099206,proof
369445420,recipients
1314996484,infection
2752984012,culled
2231731417,mighty
3091010527,checks
1587873325,adversity
2708225507,nordhoff-jung
1593457750,structures
1595968591,talkie
3829132661,antipater
3635495560,congratulation
1255918173,effectiveness
3835029030,ratifying
1426757734,relegate
1857459636,tractors
3446971485,semi-professional
1196976175,mined
2956863244,wainright
998090019,runciman
3433041314,cleaned
1566069486,unfit
3799876369,hilda
315387542,possessiveness
2502568917,dowry
1893613200,compulsory
704922739,tallahassee
3074613408,avoided
2073179344,loom
1335705661,fascination
608117295,convening
2220883058,thief
3451200865,bottled
3402111106,overwork
3555902675,nation&apos
3599906402,affections
828122925,relating
4200263117,heresy
470681212,baha
1190725829,cantata
2275116517,adherents
1421004883,wage-earner
407580172,proportions
3594819982,vainly
4090196718,administrative
1764724359,speechless
3871465390,visitation
807069359,eiffel
3796883512,contentment
3171733374,t-o-o-
3675924373,majoring
793487419,albion
1932951268,nineteenth
1142650631,potentialities
208004473,jobholding
1565902142,wells-barnett
1777004743,spillane
4063824894,donate
1573001361,troubles
