concept_id,concept
2547243436,castro government
3001319641,romped around
2072013949,one case
1853264565,m- rifle
1443008513,thereby building
1740922823,ultra-violet rays
3091462973,equally impressive
2504811652,happy choice
61232212,belgian congo
2744670187,stadium debut
1697994649,continuously engrossing
3611219427,tech game
1865787349,accrued interest
685778786,two artists
3240846828,germania club
1747087830,institute reforms
412451163,front cover
1029952292,pro-western government
3556225324,madison ave
1996384688,anatole france
1383132733,hardy p
1555892367,publishing firm
1250291892,georgia-pacific corp
1915446607,salton sea
3618506320,ponchielli work
4256428172,increase grants
3883323449,official family
55783063,primary concern
1402212568,public atmosphere
3102876586,christian imperative
2636997661,added surprise
4265022264,metaphorical resources
2426067659,ultra-efficient manner
2972429849,greater convenience
3820620088,mentally ill
1183297964,burglars would
3299270500,foreign tongue
3370635183,pathet lao
2358810517,cooke singled
2154287535,sergei vikulov
3328832753,dog catchers
1737263889,situation existing
1432474369,oh may
2406617160,largely futile
895380087,low decide
2521091148,get permission
2517278688,new science
2301940577,everybody returned
1650500966,military might
2261909159,vienna billet
3945051689,tax-exempt income
2131062721,fear resurgence
1325055957,timing gets
1711070872,advertising firm
2316660455,maximum reach
2510442691,peace-loving intentions
962457738,hearty age
3188740521,location advantages
3121552958,shoulder blades
2433692537,toy program
1722743862,baseball game
3507906085,group performance
3122497527,several times
2323479858,majority report
366565237,southern-republican coalition
1178658510,economic autonomy
415347024,two reasons
3034256267,early meeting
450219284,cochannel interference
1999842036,past winter
1419861492,developing part
332286491,award made
46152006,wild pitch
463334750,united aircraft
1335771257,dodge reported
2903739193,lightly brown
2415770953,longer loves
3045578591,big military
2706673682,speed approval
2003828133,trading began
127340762,several states
177036942,fairchild camera
4090878140,serious survey
23210294,top teenagers
3927383418,compacts continue
3920411668,shrewd judge
694322974,room scheme
2672961292,local assessors
716636069,north providence
63311339,alumni office
1599691952,greatest war
3999846900,given commitments
3356833883,nearby shiloh
1736279303,ceramic arts
2123354030,non-catholic speaker
3768078319,first called
1201209709,cuban refugees
2905561678,fascinating sport
1877148017,nbc plans
3283990829,policy function
