concept_id,concept
855618722,significant opinion
1513824185,grzesiak spotted
499644875,interim financing
526415225,electrical forces
2678920213,prepared shelters
3057383002,periodic review
1018418988,property included
1568680475,directional antennas
3966233449,motel overnight
3978164742,state library
1547452038,yalta conference
1497937314,laotian people
276362320,chevrolet engine
3753786421,holds %
1622845060,rig prices
1836510066,basic sciences
418083461,bill kunkel
2398966612,district director
402830441,old production
3278053560,randy avon
254529642,measure save
713246259,start one
1798182855,not-quite-perfect example
2526750390,detecting submarines
2668059944,crushed mickey
2635955721,dared approach
666229314,next move
2774785729,agency nearest
2349496680,unpaid taxes
3767623178,many children
1847516033,present day
2052767220,lawrence paschall
2347575932,strict regimen
3147491651,stations radiate
1760369633,special funds
356353402,county employes
4039970481,may preclude
310203215,people wonder
2085881207,democratic reform
3648052548,queen mary
3369091349,special districts
4121946055,ronnie davis
4192689791,whole group
2657087137,desirable effect
1503776213,notte jr
300499325,incautious tale
3366155505,senator goldwater
3016183502,birch-paneled office
3317176701,unprecedented style
690304039,sound tracks
4268751964,stephen mana
4097899105,throughout much
1440051063,taken back
2453922468,major stockholders
1451937992,army jeep
1306285210,aimless person
758939622,wants mommy
1516552318,un troops
4253912905,press forward
3967495708,ten-year alliance
2057676445,fair-priced funeral
1581405588,mountainous portions
1930693400,show midway
2573329802,opera may
1980306457,best interests
3147021064,method left
4210349539,world markets
2766161562,three bases
1735857634,cattle egrets
1061078378,way home
4261913224,tenor sax
1262137346,coarsened performance
1297616306,pohl received
2218172931,would oppose
1862213842,geneva breakdown
4245466899,otherwise possible
395897211,socialized medicine
3167064156,recommendations made
1882825298,following day
2164496886,boat problem
4210850050,% fat
1891687309,particularly america
2914433638,military crises
2954976925,new programs
1252346546,paper work
2131847681,fascinating whether
3862648916,great singers
1259361598,rudy vallee
3782612944,lay curled
2602785490,temporarily stalled
1746965730,alone together
3671974696,fixed ideas
2933052990,isolated example
1353621236,charter movement
979718759,dining room
422598590,medical missionary
1183049385,colonel fled
3104053611,small plot
3479099715,catholic association
3045200864,convenience foods
