concept_id,concept
3680163394,beale street blues
3348055231,louis university found
2847493825,per day increase
40936374,vent pipes also
834658905,allowing life magazine
2476815137,arched acacia panels
830002320,initial operational use
99252905,satisfy everyday needs
1949352227,player gradually increased
4029028989,handled without relation
1449333646,issue bibliographical data
4102516436,farm credit administration
6895920,color trees purple
2396282199,four persons directing
255891239,frequently archaic words
784049901,riviera presbyterian church
2429156921,trial judge decided
2005634018,agreement allowing convicts
441791443,required non-partisan ballot
2010664953,job well done
2780152112,month edward r
2802448951,subsequent developments concerning
1611220739,take short views
2800105665,regular monthly  case
2932493964,neither told us
1047329712,skilled manpower necessary
4199827389,industrial division sponsored
309486827,least risky path
2695914899,th century setting
3892421243,yet another field
1605047706,baltimore & ohio
4255725239,speaker pro tempore
1797409739,moth-eaten zoo specimens
3075396164,win public support
628540756,adjusted gross income
1683260745,since election day
253144917,brown toward yet
2627570783,current soviet tests
2773181886,royal albert hall
1270436088,garden hills drive
774844324,popular negro bands
3932104390,forty-seven states assign
2935282425,twenty-five thousandth corpse
2980802574,soviet regime indicates
3635976748,fire last saturday
3530354439,surprise slugging sensation
1610407656,make beautiful objects
2698003770,adirondacks blaze brightest
3965730387,cuba blockade take
2834105868,ethics would produce
2358986967,b clear-channel stations
1745775373,tools  including micrometers
2091948429,one bird survive
3008994378,merely bad reportage
48518841,make enough money
3947699040,new post-world war
2051354590,translates many books
1756936315,prairie national park
1968402010,review agreed projects
3354937936,sells mutual funds
15925393,last roof boards
442418834,four republican members
4181132137,large sales increase
3592499254,death sentence passed
422215314,space around us
1942631259,total passing yardage
3496392248,soviet morticians could
332377031,exceptionally gifted golfers
1850633673,certainly comes close
2117542721,tangible movable property
971592931,appropriations currently available
2317053189,necessary expenses attributable
2823799919,needs constant reassurance
1331946603,mad world dept
2809131820,home rule charter
3529047126,eight feet apart
2641794953,rd congress enacted
409139618,britain looking inward
1219346077,establish firmer prices
2888533265,du pont show
290715374,united nations banner
2837135311,local trade associations
1129605555,aircraft carriers lexington
4041768420,third credit service
1500919609,playing center field
3580242495,collective bargaining said
136314253,never put moliere
2089545706,shallow theater drawn
920162932,getaway car used
3188256065,latin american republic
3519199537,dick mcauliffe cracked
4102133279,catfish bend series
4109453238,lower rates originated
3126413921,henry hall wilson
3987607756,cornell daily sun
2496659472,social influence ever
1827963948,nationalism sweeping africa
357274695,office expires jan
1045185273,first dedication service
4257481879,free public services
