concept_id,concept
2858796523,new congressional districts
3518457863,single joint product
248563103,african roots among
2091608604,portland cement association
4209734193,national coalition government
1692760906,small independent states
3006653705,public bodies arrived
3510364417,lampoon baseball personalities
1934507196,modern embroidered panels
1892457987,since last fall
3355002003,judge excused one
3787015224,inter-american defense board
1246125775,civil defense organization
432174439,given chinese classes
3155982565,watch women parade
1794492315,prepared statement released
1847786770,national security act
1970848826,orderly people governed
2424524565,one unifying note
2638985014,least technically original
524442147,farm equipment manufacturers
316602276,morton foods employes
3883248253,time reach pittsburgh
1895654201,injury forced skorich
2620438606,gorky studio drama
1353717322,cast doubt upon
3898514501,rapidly growing demand
1445069111,albanian leaders went
112129507,prokofieff seventh sonata
184877150,still refused thursday
2908942328,los angeles times
1096174208,thrift shop committee
3684647213,renewed several times
3598166826,much greater  democratization
1443476842,debentures plus cash
4008468245,complete ginning system
2596353045,daily labor report
1277319705,real estate agent
927815004,senate subcommittee headed
3377260566,person meets god
2911429289,aristotelean-thomistic principle experienced
1257192776,strengthening budgeting procedures
3141938067,increasingly important part
2736041369,army medical research
799537051,first two services
1593264566,cedric burgher jr
1637497035,older version certainly
3521977191,evanston traffic school
873098623,sewing brings numbness
2117251671,standard broadcast frequencies
1468544724,tyler lawyer representing
2370154335,foreign bible society
2379837635,minor traffic offenses
109167110,warm velvet night
4169155622,could never happen
1562344934,open sessions slow
846761685,would certainly alter
3278883701,friends find endearing
3127939471,city purchasing department
3467976130,jockey philip grimm
1419788994,dallas county cracked
764021991,texas cotton ginner
4090512542,almost invariably compelling
2260915269,soon become archaic
4079695,interesting material contained
4266871385,navy air force
2574755783,tax proposal later
323261403,thirty-one minutes later
4284342691,metal ties placed
403190837,make  sufficient declaration
3976283929,farm equipment sales
2088863454,reasons best known
2946634810,effective safety program
160102213,run well ahead
1640118379,morton foods issue
499618934,farce called  hark
45288353,independent assessing units
2707011671,commerce field offices
3221022835,logging equipment business
1590679409,young peter wendell
2608756490,needed services regardless
982313314,venerable television program
3676985328,carry enough fuel
3529801008,employees even though
958333447,would basically alter
1425512685,sufficient beyond doubt
2135684814,general motors divisions
1289593434,retail stores dropped
4057743860,governor rockefeller said
4284391565,administrative procedure act
3804253281,chief probation officer
2382815307,officials still called
1242285895,camilla alsop wendell
1242528814,attended texas woman
3617455855,relatively small manufacturers
452916989,greenwich village painter
3063157059,sansom actually writes
3792916004,radio station aj
3109630958,commission shall complete
2071707650,rationally defensible explanations
